Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,432.660004,433.260010,421.350006,421.950012,408.997650,132578000
2022-02-24,411.019989,428.760010,410.640015,428.299988,415.152710,213942900
2022-02-25,429.609985,437.839996,427.859985,437.750000,424.312683,121804500
2022-02-28,432.029999,438.200012,430.700012,436.630005,423.226990,145615000
2022-03-01,435.040009,437.170013,427.109985,429.980011,416.781158,137785900
2022-03-02,432.369995,439.720001,431.570007,437.890015,424.448303,117726500
2022-03-03,440.470001,441.109985,433.799988,435.709991,422.335297,105501700
2022-03-04,431.750000,433.369995,427.880005,432.170013,418.903961,113978200
2022-03-07,431.549988,432.299988,419.359985,419.429993,406.555023,137896600
2022-03-08,419.619995,427.209991,415.119995,416.250000,403.472595,164772700
2022-03-09,425.140015,429.510010,422.820007,427.410004,414.290039,116990800
2022-03-10,422.519989,426.429993,420.440002,425.480011,412.419281,93972700
2022-03-11,428.119995,428.769989,419.529999,420.070007,407.175354,95636300
2022-03-14,420.890015,424.549988,415.790009,417.000000,404.199585,95729200
2022-03-15,419.769989,426.839996,418.420013,426.170013,413.088104,106219100
2022-03-16,429.890015,435.679993,424.799988,435.619995,422.248016,144954800
2022-03-17,433.589996,441.070007,433.190002,441.070007,427.530701,102676900
2022-03-18,438.000000,444.859985,437.220001,444.519989,432.213348,106345500
2022-03-21,444.339996,446.459991,440.679993,444.390015,432.086975,88349800
2022-03-22,445.859985,450.579987,445.859985,449.589996,437.143005,74650400
2022-03-23,446.910004,448.489990,443.709991,443.799988,431.513306,79426100
2022-03-24,445.940002,450.500000,444.760010,450.489990,438.018066,64736900
2022-03-25,451.160004,452.980011,448.429993,452.690002,440.157196,77101300
2022-03-28,452.059998,455.910004,450.059998,455.910004,443.288055,68529800
2022-03-29,460.019989,462.070007,457.179993,461.549988,448.771851,86581500
2022-03-30,460.339996,461.200012,456.470001,458.700012,446.000793,79666900
2022-03-31,457.890015,458.760010,451.160004,451.640015,439.136261,121699900
2022-04-01,453.309998,453.459991,449.140015,452.920013,440.380798,89048800
2022-04-04,453.130005,456.910004,452.260010,456.799988,444.153381,59601000
2022-04-05,455.220001,457.829987,449.820007,451.029999,438.543152,74214500
2022-04-06,446.890015,448.929993,443.470001,446.519989,434.158020,106898000
2022-04-07,445.589996,450.690002,443.529999,448.769989,436.345703,78097200
2022-04-08,447.970001,450.630005,445.940002,447.570007,435.178925,79272700
2022-04-11,444.109985,445.000000,439.390015,439.920013,427.740753,89770500
2022-04-12,443.079987,445.750000,436.649994,438.290009,426.155853,84363600
2022-04-13,438.029999,444.109985,437.839996,443.309998,431.036896,74070400
2022-04-14,443.549988,444.730011,437.679993,437.790009,425.669739,97869500
2022-04-18,436.809998,439.750000,435.609985,437.970001,425.844696,66002500
2022-04-19,437.859985,445.799988,437.679993,445.040009,432.718994,77821000
2022-04-20,446.920013,447.570007,443.480011,444.709991,432.398132,65224400
2022-04-21,448.540009,450.010010,437.100006,438.059998,425.932220,85417300
2022-04-22,436.910004,438.079987,425.440002,426.040009,414.244965,132471800
2022-04-25,423.670013,428.690002,418.839996,428.510010,416.646606,119647700
2022-04-26,425.829987,426.040009,416.070007,416.100006,404.580139,103996300
2022-04-27,417.239990,422.920013,415.010010,417.269989,405.717773,122030000
2022-04-28,422.290009,429.640015,417.600006,427.809998,415.966034,105449100
2022-04-29,423.589996,425.869995,411.209991,412.000000,400.593719,145491100
2022-05-02,412.070007,415.920013,405.019989,414.480011,403.005066,158312500
2022-05-03,415.010010,418.929993,413.359985,416.380005,404.852448,100028200
2022-05-04,417.079987,429.660004,413.709991,429.059998,417.181366,144247900
2022-05-05,424.549988,425.000000,409.440002,413.809998,402.353638,172929100
2022-05-06,411.100006,414.799988,405.730011,411.339996,399.951965,151770800
2022-05-09,405.100006,406.410004,396.500000,398.170013,387.146606,155586100
2022-05-10,404.489990,406.079987,394.820007,399.089996,388.041138,132497200
2022-05-11,398.070007,404.040009,391.959991,392.750000,381.876678,142361000
2022-05-12,389.369995,395.799988,385.149994,392.339996,381.477997,125090800
2022-05-13,396.709991,403.179993,395.609985,401.720001,390.598297,104174400
2022-05-16,399.980011,403.970001,397.600006,400.089996,389.013428,78622400
2022-05-17,406.529999,408.570007,402.579987,408.320007,397.015625,83029700
2022-05-18,403.500000,403.799988,390.549988,391.859985,381.011292,117674500
2022-05-19,388.619995,394.140015,387.109985,389.459991,378.677704,98510700
2022-05-20,393.250000,397.029999,380.540009,389.630005,378.843048,131432200
2022-05-23,392.829987,397.730011,390.380005,396.920013,385.931213,76414900
2022-05-24,392.559998,395.149994,386.959991,393.890015,382.985107,91448800
2022-05-25,392.309998,399.450012,391.890015,397.369995,386.368744,91472900
2022-05-26,398.670013,407.040009,398.450012,405.309998,394.088928,82168300
2022-05-27,407.910004,415.380005,407.700012,415.260010,403.763428,84768700
2022-05-31,413.549988,416.459991,410.029999,412.929993,401.497955,95937000
2022-06-01,415.170013,416.239990,406.929993,409.589996,398.250427,86585800
2022-06-02,409.420013,417.440002,407.040009,417.390015,405.834503,79609600
2022-06-03,412.399994,414.040009,409.510010,410.540009,399.174133,71874300
2022-06-06,414.779999,416.609985,410.549988,411.790009,400.389496,57508900
2022-06-07,408.100006,416.220001,407.609985,415.739990,404.230133,59272400
2022-06-08,413.929993,415.820007,410.380005,411.220001,399.835297,64350000
2022-06-09,409.339996,411.739990,401.440002,401.440002,390.326050,86289800
2022-06-10,394.880005,395.779999,389.750000,389.799988,379.008270,132893900
2022-06-13,379.850006,381.809998,373.299988,375.000000,364.618073,170004900
2022-06-14,376.850006,377.940002,370.589996,373.869995,363.519318,104011800
2022-06-15,377.359985,383.899994,372.119995,379.200012,368.701782,125666800
2022-06-16,370.510010,370.940002,364.079987,366.649994,356.499237,134473300
2022-06-17,365.510010,369.380005,362.170013,365.859985,357.267731,111113900
2022-06-21,371.890015,376.529999,371.809998,375.070007,366.261475,76811900
2022-06-22,370.619995,378.720001,370.179993,374.390015,365.597443,90059400
2022-06-23,376.640015,378.829987,372.890015,378.059998,369.181244,79292100
2022-06-24,381.399994,390.089996,381.369995,390.079987,380.918915,98050300
2022-06-27,391.049988,391.359985,387.440002,388.589996,379.463928,66009600
2022-06-28,390.230011,393.160004,380.529999,380.649994,371.710449,86548900
2022-06-29,381.230011,382.269989,378.420013,380.339996,371.407684,65676000
2022-06-30,376.239990,380.660004,372.559998,377.250000,368.390289,112508300
2022-07-01,376.559998,381.700012,373.799988,381.239990,372.286560,74839700
2022-07-05,375.880005,381.980011,372.899994,381.959991,372.989655,81438000
2022-07-06,382.109985,385.869995,379.600006,383.250000,374.249329,70426200
2022-07-07,385.119995,389.829987,383.269989,388.989990,379.854523,64525900
2022-07-08,387.269989,390.640015,385.660004,388.670013,379.542084,72397800
2022-07-11,385.850006,386.869995,383.500000,384.230011,375.206329,58366900
2022-07-12,383.649994,386.160004,378.989990,380.829987,371.886139,62219200
2022-07-13,375.100006,381.920013,374.660004,378.829987,369.933136,84224600
2022-07-14,373.609985,379.049988,371.040009,377.910004,369.034760,89704800
2022-07-15,382.549988,385.250000,380.540009,385.130005,376.085236,79060400
2022-07-18,388.380005,389.089996,380.660004,381.950012,372.979919,63203600
2022-07-19,386.079987,392.869995,385.390015,392.269989,383.057495,78506000
2022-07-20,392.470001,396.260010,391.029999,394.769989,385.498810,71843800
2022-07-21,394.160004,398.839996,391.630005,398.790009,389.424408,64903900
2022-07-22,398.920013,400.179993,392.750000,395.089996,385.811279,72197300
2022-07-25,395.750000,396.470001,393.209991,395.570007,386.280029,53631500
2022-07-26,393.839996,394.059998,389.950012,390.890015,381.709930,52946400
2022-07-27,394.359985,402.880005,394.049988,401.040009,391.621552,82342100
2022-07-28,401.890015,406.799988,398.149994,406.070007,396.533417,73966600
2022-07-29,407.579987,413.029999,406.769989,411.989990,402.314392,87003700
